Report_ID,Department,Incident_Type,Doc_Type,Date,Location,Program,Officer,Summary,Key_Detail
RPT_032,the Department of Defense,1033 Training Proposal,Training Proposal,Unknown,Unknown,Law Enforcement Support,Border Patrol,1033 Training Proposal. Detail: Smith Integrated Technologies M.R.A.P. Training Program is developed strategically from the,1033 Training Proposal
RPT_033,Little Rock Police Department,1033 Training Proposal,Training Proposal,6/4/2014,Little Rock,Law Enforcement Support,Huntwick Ave,1033 Training Proposal. Detail: (Cy Sinith integrated Technologies,1033 Training Proposal
RPT_034,LAW ENFORCEMENT AGENCY,1033 Training Proposal,Equipment Request,92/17/2015,Unknown,Law Enforcement Support,W. MARKHAM STREET,1033 Training Proposal. Detail: popaac: 2YTGUC AGENCY NAME: LITTLE ROCK POLICE DEPARTMENT,1033 Training Proposal
RPT_035,LAW ENFORCEMENT AGENCY,1033 Training Proposal,Equipment Request,Unknown,Unknown,Law Enforcement Support,Box,1033 Training Proposal. Detail: LAW ENFORCEMENT AGENCY (LEA) AIRCRAFT REQUEST,1033 Training Proposal
RPT_036,The Little Rock Police Department,1033 Training Proposal,Training Proposal,"February 19, 2015",Washington Avenue North  Battle Creek,Law Enforcement Support,Perry,"1033 Training Proposal. Detail: Kenton Buckner RCE, ABRANS: (S01)-3 71-4605",1033 Training Proposal
RPT_037,The Little Rock Police Department,Assault,Training Proposal,Unknown,The City of Little Rock,General Operations,Lh,"Assault. Detail: the state capitol of Arkansas, encompasses 116 square miles and has a census population",Assault
RPT_038,Lonoke County Sheriff’s Office,1033 Training Proposal,Training Proposal,1 December 2015,Lonoke County Sheriff’s Office,Law Enforcement Support,David Bufford,"1033 Training Proposal. Detail: 440 Dee Dee Lane • Lonoke, AR 72086 • Office 501-676-3001 • Fax 501-676-3017 • www.lonokeso.com",1033 Training Proposal
RPT_039,Lonoke County Sheriff’s Office,1033 Training Proposal,Lesson Plan,Unknown,Lonoke County Sheriff’s Office,Law Enforcement Support,John Staley - Sheriff,"1033 Training Proposal. Detail: 440 Dee Dee Lane • Lonoke, AR 72086 • Office 501-676-3001 • Fax 501-676-3017 • www.lonokeso.com",1033 Training Proposal
RPT_040,Lonoke County Sheriff’s Office,1033 Training Proposal,Training Proposal,Unknown,Lonoke County Sheriff’s Office,Law Enforcement Support,John Staley - Sheriff,"1033 Training Proposal. Detail: 440 Dee Dee Lane • Lonoke, AR 72086 • Office 501-676-3001 • Fax 501-676-3017 • www.lonokeso.com",1033 Training Proposal
RPT_041,The Mississippi County Sheriff,1033 Training Proposal,Training Proposal,"December 17, 2014",the Mississippi County Sheriff's Department,Law Enforcement Support,Luxora,"1033 Training Proposal. Detail: 685 North CR599_ Luxora, Arkansas 72358 870-762-2243 FAX 870-658-2510",1033 Training Proposal
RPT_042,Pulaski County Sheriff's Office,1033 Training Proposal,Training Proposal,6/1/15,Fort Leavenworth,Law Enforcement Support,James Ray,"1033 Training Proposal. Detail: 2900 S. Woodrow St., Little Rock, AR 72204",1033 Training Proposal
RPT_043,March 2015  The Rogers Police Department,1033 Training Proposal,Training Proposal,July 2 2014,the United States Government,Law Enforcement Support,Hayes Minor,1033 Training Proposal. Detail: Arkansas Department of Career Education,1033 Training Proposal
RPT_044,Joint Program Offi,1033 Training Proposal,Training Proposal,Unknown,Unknown,Law Enforcement Support,Thomas Helmich,1033 Training Proposal. Detail: Mine Resistant Ambush Protected Ve,1033 Training Proposal
RPT_045,The Union County Sheriff's Office,1033 Training Proposal,Training Proposal,"June 1, 2015",Union County,Law Enforcement Support,MIKE MCGOUGH,1033 Training Proposal. Detail: MIKE MCGOUGH . 250 AMERICAN ROAD,1033 Training Proposal
